,feature,corr,rf,xgb,lgb,corr_rank,rf_rank,xgb_rank,lgb_rank,rank
244,收益级别_1sum_x,0.028988867045125124,0.001285946690064543,0.0020529348,87,245.0,165.0,159.0,224.0,793.0
225,收入类型_4,0.03134422096991886,0.00032720364891460313,0.0025100699,144,226.0,313.0,89.0,165.0,793.0
251,产品类型_2sum_x,0.02833449654822505,0.0007212339496693213,0.0025275926999999998,83,252.0,226.0,84.0,231.0,793.0
198,首付金额min_y,0.0342473647709317,0.002116172011146939,0.0021415032,33,199.0,129.0,138.0,328.0,794.0
240,商品价格mean_x,0.029625696805347292,0.003407326096602834,0.0015015383999999999,215,241.0,86.0,346.0,130.0,803.0
105,产品组合_2.0mean_y,0.049845495161057685,0.0009412681444261943,0.0021481852,19,106.0,191.0,137.0,369.0,803.0
187,合同状态_1mean_x,0.03610900809107055,0.0008021819938688233,0.0018159599,136,188.0,216.0,227.0,176.0,807.0
266,商品类别_27mean_x,0.02641609644960892,0.0012154673880177698,0.0018822702,149,267.0,171.0,206.0,163.0,807.0
71,收益级别_1sum_y,0.05648908148853991,0.0006543163967784469,0.0022176242999999997,17,72.0,232.0,122.0,384.0,810.0
726,本期还款金额ms比贷款金额ssmean,0.0012859667125840082,0.011413821930667006,0.0031434953999999998,1257,727.0,10.0,50.0,24.0,811.0
88,组合类型_2mean_y,0.053160834400885926,0.0008982091011252672,0.0019338278,26,89.0,201.0,187.0,343.0,820.0
227,产品类型_2mean_x,0.030868503726041382,0.0015280421601891294,0.0015289484,329,228.0,156.0,336.0,101.0,821.0
132,产品组合_0.0mean_x,0.04406738553069231,0.0007293457249288802,0.0016986057999999998,119,133.0,224.0,272.0,196.0,825.0
39,收益级别_0sum_y,0.07210335594901482,0.0005123152320518026,0.0022331097,12,40.0,262.0,120.0,404.0,826.0
567,有车时间,0.0049209144248874796,0.0015763312096494235,0.0033710331,598,568.0,153.0,41.0,64.0,826.0
128,申请额度max_y,0.0442543670131158,0.00318673811182535,0.0014460745999999999,78,129.0,92.0,368.0,239.0,828.0
334,申请额度min_x,0.01975416216251072,0.0029910785982274943,0.0014648641,1021,335.0,103.0,358.0,33.0,829.0
162,申请时点_4mean_y,0.039188877650180434,0.00028809020718283465,0.0028985753,49,163.0,325.0,58.0,294.0,840.0
285,信用额度min_y,0.024393068004307124,0.0019246834871020308,0.0017301106,144,286.0,136.0,257.0,165.0,844.0
384,陪同申请人_7.0mean_x,0.01465568151161598,0.0011613662502119948,0.0017749032999999999,740,385.0,172.0,240.0,52.0,849.0
221,商品价格max_x,0.032133556368672725,0.0030148062804599327,0.0018214647,46,222.0,101.0,226.0,301.0,850.0
184,行业_4sum_x,0.036212580755614086,0.0010063907000227507,0.0015367254,166,185.0,186.0,332.0,150.0,853.0
214,行业_5mean_x,0.03292428828364724,0.0009319580840420512,0.0016743126,144,215.0,193.0,281.0,165.0,854.0
96,获客渠道_5mean_y,0.051644268510210166,0.0003634486669428662,0.0018225269,82,97.0,302.0,223.0,233.0,855.0
310,历史贷款授信距本次申请时间min_y,0.022580803233571055,0.001592520669956403,0.0017010623,223,311.0,152.0,270.0,124.0,857.0
217,陪同申请人_1.0sum_x,0.032381633455192786,0.0005592319532378475,0.0019880708,96,218.0,253.0,175.0,213.0,859.0
66,地址是否一致标志mean,0.058051087601406565,0.0028746975178469782,0.0016152129,15,67.0,106.0,304.0,393.0,870.0
336,申请时点_8mean_x,0.01942643671050441,0.0011267417232819613,0.0016486425,578,337.0,174.0,293.0,66.0,870.0
524,分期付款实际支付时间max,0.006191930193422123,0.0029685816973094945,0.0018044607000000002,1450,525.0,104.0,229.0,14.0,872.0
401,信用额度min_x,0.012502879679282855,0.002917288241892677,0.0015732022,778,402.0,105.0,316.0,50.0,873.0
181,组合类型_4mean_x,0.037041711396876814,0.0008182584952176398,0.0015292029999999998,174,182.0,213.0,335.0,145.0,875.0
212,合同状态_0sum_x,0.033053633854369165,0.00200790117139653,0.001500447,128,213.0,132.0,347.0,185.0,877.0
44,产品类型_1sum_y,0.0698162269093586,0.0009713543113579027,0.0018888986,5,45.0,189.0,203.0,450.0,887.0
488,分期付款应支付时间max,0.007826500151552236,0.00270663497952577,0.0017225670000000002,1174,489.0,111.0,262.0,28.0,890.0
197,获客渠道_0mean_x,0.03436893074381786,0.0003417547179887386,0.0021403222,73,198.0,308.0,139.0,248.0,893.0
588,首付月数mean_x,0.0041927222948845155,0.004444184396201843,0.0036804290000000003,106,589.0,65.0,32.0,208.0,894.0
352,拟实际应还贷款金额min_y,0.017599201390690742,0.002707930761829695,0.0016193142999999998,208,353.0,110.0,299.0,133.0,895.0
627,本期还款金额max,0.003342471007803202,0.0052102780977062784,0.0020338164,877,628.0,56.0,165.0,47.0,896.0
558,历史贷款授信距本次申请时间max_y,0.005161589087504854,0.0030212619089653924,0.0020571288,434,559.0,99.0,157.0,81.0,896.0
387,历史贷款授信距本次申请时间mean_y,0.01427093323299011,0.002554337049364854,0.0017347581,192,388.0,116.0,255.0,137.0,896.0
147,贷款类型_1mean_x,0.04179943373192116,0.0008768649060315923,0.0014264014999999998,143,148.0,206.0,375.0,168.0,897.0
279,商品类别_4mean_x,0.02475557527754989,0.00043339826602381467,0.0026394978999999996,61,280.0,281.0,74.0,265.0,900.0
590,首付时间mean_x,0.004171545904792361,0.00439644003135676,0.0023809518,168,591.0,67.0,102.0,148.0,908.0
70,组合类型_4sum_y,0.05731717429674482,0.0004059291847649187,0.002372858,5,71.0,289.0,104.0,450.0,914.0
190,申请额度mean_y,0.03562397546365565,0.0024022360061371037,0.001448909,78,191.0,121.0,366.0,239.0,917.0
242,职业_0.0,0.029345679829384783,0.00024180007331966376,0.0024785597,77,243.0,344.0,90.0,241.0,918.0
94,产品组合_2.0sum_y,0.05184035063004865,0.0005961532383390392,0.002387599,3,95.0,249.0,101.0,479.0,924.0
131,组合类型_4mean_y,0.04410466265618897,0.00046879043454926367,0.001903242,35,132.0,269.0,199.0,325.0,925.0
192,产品组合_3.0mean_x,0.0351711318846385,0.0005290101411936446,0.0017413120999999999,90,193.0,257.0,253.0,222.0,925.0
386,历史贷款授信距本次申请月数mean_y,0.014299350066649376,0.0024347548637353787,0.0017853085999999998,124,387.0,118.0,234.0,190.0,929.0
544,婚姻状态,0.005468091204145316,0.0008835376275755291,0.0023750481,488,545.0,204.0,103.0,77.0,929.0
315,申请额度min_y,0.02185674769209871,0.002432235095264421,0.0016556779999999998,107,316.0,119.0,289.0,207.0,931.0
357,收益级别_4mean_x,0.017036344667004658,0.0012324192675651775,0.0014786818,622,358.0,167.0,351.0,58.0,934.0
444,贷款申请前1个季度内征信查询次数,0.010268778143558907,0.0002925692394235096,0.0029679235999999997,257,445.0,323.0,55.0,114.0,937.0
100,贷款用途_24mean_y,0.05073183766641993,0.0006019439161617767,0.0015220894,71,101.0,244.0,338.0,254.0,937.0
230,申请时点_3mean_x,0.03056404616146049,0.0004498438531239212,0.0017629210999999998,128,231.0,276.0,247.0,185.0,939.0
189,商品价格mean_y,0.03569314608386767,0.0030529316205463587,0.0017058003,17,190.0,97.0,269.0,384.0,940.0
321,陪同申请人_1.0mean_x,0.02132472789444637,0.0007246902859998336,0.0015433942,511,322.0,225.0,329.0,74.0,950.0
335,商品价格min_x,0.01975416051146895,0.0030835443697999746,0.0016730175,80,336.0,96.0,283.0,238.0,953.0
42,客户类型_2mean_y,0.07051864457875466,0.0010611273618192935,0.0013075012,36,43.0,180.0,410.0,322.0,955.0
155,商品类别_11sum_x,0.04036010849278551,0.0006360658841761315,0.0017286817000000002,41,156.0,233.0,258.0,309.0,956.0
302,申请时点_9sum_x,0.023360825602174198,0.0003762624224903,0.0025194510000000002,55,303.0,294.0,86.0,278.0,961.0
143,产品组合_0.0sum_x,0.042105721356062366,0.00028268016935119783,0.0023563749,17,144.0,330.0,106.0,384.0,964.0
353,获客渠道_7mean_x,0.0173771090279555,0.0007297969574499825,0.0016404141,372,354.0,223.0,295.0,92.0,964.0
350,行业_3mean_x,0.017732857936497284,0.0002303340385940959,0.0028353664000000003,101,351.0,350.0,63.0,209.0,973.0
441,申请周内日_4mean_x,0.010551695368824505,0.0006174426302476418,0.0018444926,489,442.0,239.0,218.0,76.0,975.0
309,历史贷款授信距本次申请月数min_y,0.02261080446852746,0.0019873005016169984,0.0019261047000000001,26,310.0,133.0,189.0,343.0,975.0
